,song,debut,peak_date,peak_position,weeks_in_top
116,Long Live,11.13.10,11.13.10,85,1
117,Dear John,11.13.10,11.13.10,54,1
118,Never Grow Up,11.13.10,11.13.10,84,1
119,Enchanted,11.13.10,11.13.10,75,1
120,Better Than Revenge,11.13.10,11.13.10,56,1
121,Superstar,11.14.09,11.14.09,26,1
122,Breathless,02.13.10,02.13.10,72,1
123,Innocent,11.13.10,11.13.10,27,1
124,Hey Stephen,11.29.08,11.29.08,94,1
125,The Way I Loved You,11.29.08,11.29.08,72,1
126,Come In With The Rain,11.14.09,11.14.09,30,1
127,Breathe Featuring Colbie Caillat,11.29.08,11.29.08,87,1
128,Afterglow,09.07.19,09.07.19,75,1
129,False God,09.07.19,09.07.19,77,1
130,Death By A Thousand Cuts,09.07.19,09.07.19,67,1
131,Miss Americana & The Heartbreak Prince,09.07.19,09.07.19,49,1
132,It's Nice To Have A Friend,09.07.19,09.07.19,92,1
133,I Think He Knows,09.07.19,09.07.19,51,1
134,Cornelia Street,09.07.19,09.07.19,57,1
135,Paper Rings,09.07.19,09.07.19,45,1
136,Soon You'll Get Better Featuring Dixie Chicks,09.07.19,09.07.19,63,1
137,Daylight,09.07.19,09.07.19,89,1
138,London Boy,09.07.19,09.07.19,62,1
139,Peace,08.08.20,08.08.20,58,1
140,Hoax,08.08.20,08.08.20,71,1
141,Epiphany,08.08.20,08.08.20,57,1
142,This Is Me Trying,08.08.20,08.08.20,39,1
143,Illicit Affairs,08.08.20,08.08.20,44,1
144,Mad Woman,08.08.20,08.08.20,47,1
145,Christmas Tree Farm,12.21.19,12.21.19,59,1
146,Only The Young,02.15.20,02.15.20,50,1
147,Everything Has Changed (Taylor's Version) Featuring Ed Sheeran,11.27.21,11.27.21,63,1
148,Stay Stay Stay (Taylor's Version),11.27.21,11.27.21,67,1
149,Babe (Taylor's Version) (From The Vault),11.27.21,11.27.21,69,1
150,Nothing New (Taylor's Version) (From The Vault) Featuring Phoebe Bridgers,11.27.21,11.27.21,43,1
151,Run (Taylor's Version) (From The Vault) Featuring Ed Sheeran,11.27.21,11.27.21,47,1
152,I Knew You Were Trouble (Taylor's Version),11.27.21,11.27.21,46,1
153,22 (Taylor's Version),11.27.21,11.27.21,52,1
